name,phoneNumber,email,address,userAgent,hexcolor
"Myriam Hahn MD",867-866-6975,wiza.berniece@nikolaus.biz,"5978 Colin Union
East Tyshawn, VA 12007","Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_1 rv:4.0; sl-SI) AppleWebKit/535.15.5 (KHTML, like Gecko) Version/4.0 Safari/535.15.5",#537b13
"Vita Frami",+1.327.867.4569,tkshlerin@cremin.com,"9755 Elias Point Apt. 142
Bernierview, SC 22067","Mozilla/5.0 (iPhone; CPU iPhone OS 7_2_1 like Mac OS X; sl-SI) AppleWebKit/532.3.2 (KHTML, like Gecko) Version/4.0.5 Mobile/8B111 Safari/6532.3.2",#c2aae0
"Prof. Devante Considine Sr.",+1-740-932-5233,dickens.ollie@yahoo.com,"62427 Opal Wall
North Estel, MO 07272-1870","Mozilla/5.0 (Windows 95; sl-SI; rv:1.9.2.20) Gecko/20111102 Firefox/36.0",#2c6eef
"Kaleigh Wiza",846-795-0875,albina49@yahoo.com,"6717 Savanah Locks Apt. 193
East Ole, CT 56359-4820","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4 rv:6.0) Gecko/20110722 Firefox/37.0",#fa4879
"Landen Pollich V","(881) 482-1280",breitenberg.roxane@hotmail.com,"9856 Dorothy Way
Rempelport, IN 43430","Mozilla/5.0 (X11; Linux i686; rv:5.0) Gecko/20130329 Firefox/37.0",#a5945c
"Rylee Connelly",417.698.7078,jenkins.clint@zieme.com,"451 Rau Squares Apt. 464
Johnsmouth, KY 13306","Mozilla/5.0 (compatible; MSIE 8.0; Windows CE; Trident/4.0)",#9e79e3
"Hortense Jenkins",1-492-696-9459,tamia.johnson@ferry.com,"523 Paul Ramp Apt. 267
Westbury, FL 03207","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5351 (KHTML, like Gecko) Chrome/36.0.838.0 Mobile Safari/5351",#3887d2
"Baylee Toy",730-346-8879,charles11@hotmail.com,"832 Theresa Village Apt. 421
Lake Salmaburgh, ME 58902","Opera/9.56 (X11; Linux i686; sl-SI) Presto/2.10.276 Version/12.00",#cb60af
"Dr. Cali Ebert MD","+1 (427) 699-9347",rmarvin@gulgowski.com,"25722 Quitzon Hollow
West Devanville, ME 23755-1435","Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_1 like Mac OS X; sl-SI) AppleWebKit/531.28.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B112 Safari/6531.28.3",#5543e4
"Enola Ullrich",+1-504-573-7529,pbogisich@yahoo.com,"52766 Nadia Station
Reingerton, AL 41811","Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.0; Trident/5.0)",#aa3fc7
"Lewis Jacobs","(413) 350-2401",caterina20@wintheiser.biz,"210 Lindgren Lane Apt. 974
Kutchbury, NV 33452-3044","Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 5.2; Trident/4.1)",#1da50f
"Prof. Torrance Kris",+13764857337,chyna.langworth@gmail.com,"725 Jenkins Unions Suite 895
South Abdulview, OH 10562","Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.01; Trident/3.1)",#ff4125
"Elouise Klocko","(529) 932-3378",leuschke.laverna@hotmail.com,"985 Leonard Meadows
East Morgan, TX 42426","Mozilla/5.0 (X11; Linux i686; rv:7.0) Gecko/20141021 Firefox/37.0",#80ebcf
"Norma Wunsch",332.593.7469,adela.nienow@hotmail.com,"46718 Mohammad Curve
Jasminburgh, VT 81723-5176","Opera/8.25 (X11; Linux x86_64; sl-SI) Presto/2.8.253 Version/11.00",#e8edb3
"Aracely Franecki DVM",+1-317-433-4072,cierra07@carter.net,"98823 Haag Vista
Metzview, TN 17109-8269","Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.2; Trident/3.1)",#e4c5de
"Mariah Runolfsdottir III",+1-880-580-5199,wgoyette@yahoo.com,"525 Eldred Forest Suite 330
Corinefort, NH 54343-3529","Opera/9.52 (Windows 98; en-US) Presto/2.11.346 Version/10.00",#331e65
